Category,Food or category (serving),Number of sources,Mean Ni (ug/serving),Stddev (ug/serving),Min Ni (ug/serving),Max Ni (ug/serving)
Vegetables - Other,"Chayote, 85 g",2,34.85,28.05,6.8,62.9
Vegetables - Other,"Peas, 85 g",15,34.54,41.79,4.82,186.15
Vegetables - Prepared,"Bean sprouts, cooked, 65 g*",1,0.04,0,0.04,0.04
Vegetables - Prepared,"Mushroom, composite, 107.5 g",15,1.09,0.9,0.17,3.76
Vegetables - Prepared,"Kohlrabi, composite, 107.5 g",8,2.55,0.69,2.15,4.3
Vegetables - Prepared,"Tomato, composite, 107.5 g",19,2.05,1.83,0.37,8.06
Vegetables - Prepared,"Onion, composite, 107.5 g",4,2.8,0.71,2.15,3.87
Vegetables - Prepared,"Potato, instant, 17 g",4,3.19,0.93,1.7,4.25
Vegetables - Prepared,"Turnip, cooked, 130 g",49,2.84,2.19,1.04,10.01
Vegetables - Prepared,"Celery, composite, 107.5 g",15,3.39,1.71,0.24,7.1
Vegetables - Prepared,"Onions, pickled, 130 g*",1,2.6,0,2.6,2.6
