FiscalYear CalendarYear Collection TDSFoodNumber TDSFoodDescription Season TDSFoodListType Region Analyte Units Concentration ReportingLimit 
2020 2020 4 17 "Ham, cured (not canned), baked" Winter Regional West Nickel ppb 0 40 
2020 2020 5 17 "Ham, cured (not canned), baked" Winter Regional North Central Nickel ppb 0 40 
2020 2020 6 17 "Ham, cured (not canned), baked" Winter Regional Southeast Nickel ppb 0 40 
2018 2017 1 18 "Pork chop, pan-cooked with oil" Winter Regional Mid-Atlantic Nickel ppb 0 40 
2018 2017 2 18 "Pork chop, pan-cooked with oil" Winter Regional North Central Nickel ppb 0 40 
2018 2017 3 18 "Pork chop, pan-cooked with oil" Winter Regional Southeast Nickel ppb 0 40 
2018 2018 4 18 "Pork chop, pan-cooked with oil" Winter Regional Southwest Nickel ppb 0 40 
2018 2018 5 18 "Pork chop, pan-cooked with oil" Winter Regional Southeast Nickel ppb 0 40 
2018 2018 6 18 "Pork chop, pan-cooked with oil" Winter Regional Northeast Nickel ppb 0 40 
2018 2018 7 18 "Pork chop, pan-cooked with oil" Summer Regional West Nickel ppb 0 40 
2018 2018 8 18 "Pork chop, pan-cooked with oil" Summer Regional Northeast Nickel ppb 0 40 
2018 2018 9 18 "Pork chop, pan-cooked with oil" Summer Regional Southwest Nickel ppb 0 40 
2018 2018 10 18 "Pork chop, pan-cooked with oil" Summer Regional Mid-Atlantic Nickel ppb 0 40 
2018 2018 11 18 "Pork chop, pan-cooked with oil" Summer Regional West Nickel ppb 0 40 
2018 2018 12 18 "Pork chop, pan-cooked with oil" Summer Regional North Central Nickel ppb 0 40 
2019 2018 1 18 "Pork chop, pan-cooked with oil" Winter Regional West Nickel ppb 0 40 
2019 2018 2 18 "Pork chop, pan-cooked with oil" Winter Regional Southeast Nickel ppb 0 40 
2019 2018 3 18 "Pork chop, pan-cooked with oil" Winter Regional Northeast Nickel ppb 0 40 
2019 2019 7 18 "Pork chop, pan-cooked with oil" Summer Regional Southeast Nickel ppb 0 40 
2019 2019 8 18 "Pork chop, pan-cooked with oil" Summer Regional North Central Nickel ppb 0 40 
2019 2019 9 18 "Pork chop, pan-cooked with oil" Summer Regional West Nickel ppb 0 40 
2019 2019 10 18 "Pork chop, pan-cooked with oil" Summer Regional Northeast Nickel ppb 0 40 
2019 2019 11 18 "Pork chop, pan-cooked with oil" Summer Regional Mid-Atlantic Nickel ppb 0 40 
2019 2019 12 18 "Pork chop, pan-cooked with oil" Summer Regional Southwest Nickel ppb 0 40 
2020 2019 1 18 "Pork chop, pan-cooked with oil" Winter Regional Northeast Nickel ppb 0 40 
2020 2019 2 18 "Pork chop, pan-cooked with oil" Winter Regional Southwest Nickel ppb 0 40 
2020 2019 3 18 "Pork chop, pan-cooked with oil" Winter Regional Mid-Atlantic Nickel ppb 0 40 
2020 2020 4 18 "Pork chop, pan-cooked with oil" Winter Regional West Nickel ppb 0 40 
2020 2020 5 18 "Pork chop, pan-cooked with oil" Winter Regional North Central Nickel ppb 0 40 
2020 2020 6 18 "Pork chop, pan-cooked with oil" Winter Regional Southeast Nickel ppb 0 40 
2018 2017 1 19 "Pork sausage (link/patty), pan-cooked" Winter Regional Mid-Atlantic Nickel ppb 0 40 
2018 2017 2 19 "Pork sausage (link/patty), pan-cooked" Winter Regional North Central Nickel ppb 0 40 
2018 2017 3 19 "Pork sausage (link/patty), pan-cooked" Winter Regional Southeast Nickel ppb 0 40 
2018 2018 4 19 "Pork sausage (link/patty), pan-cooked" Winter Regional Southwest Nickel ppb 0 40 
2018 2018 5 19 "Pork sausage (link/patty), pan-cooked" Winter Regional Southeast Nickel ppb 0 40 
2018 2018 6 19 "Pork sausage (link/patty), pan-cooked" Winter Regional Northeast Nickel ppb 0 40 
2018 2018 7 19 "Pork sausage (link/patty), pan-cooked" Summer Regional West Nickel ppb 0 40 
2018 2018 8 19 "Pork sausage (link/patty), pan-cooked" Summer Regional Northeast Nickel ppb 0 40 
2018 2018 9 19 "Pork sausage (link/patty), pan-cooked" Summer Regional Southwest Nickel ppb 0 40 
2018 2018 10 19 "Pork sausage (link/patty), pan-cooked" Summer Regional Mid-Atlantic Nickel ppb 0 40 
2018 2018 11 19 "Pork sausage (link/patty), pan-cooked" Summer Regional West Nickel ppb 0 40 
2018 2018 12 19 "Pork sausage (link/patty), pan-cooked" Summer Regional North Central Nickel ppb 0 40 
2019 2018 1 19 "Pork sausage (link/patty), pan-cooked" Winter Regional West Nickel ppb 0 40 
2019 2018 2 19 "Pork sausage (link/patty), pan-cooked" Winter Regional Southeast Nickel ppb 0 40 
2019 2018 3 19 "Pork sausage (link/patty), pan-cooked" Winter Regional Northeast Nickel ppb 0 40 
2019 2019 7 19 "Pork sausage (link/patty), pan-cooked" Summer Regional Southeast Nickel ppb 0 40 
2019 2019 8 19 "Pork sausage (link/patty), pan-cooked" Summer Regional North Central Nickel ppb 0 40 
2019 2019 9 19 "Pork sausage (link/patty), pan-cooked" Summer Regional West Nickel ppb 43 40 
2019 2019 10 19 "Pork sausage (link/patty), pan-cooked" Summer Regional Northeast Nickel ppb 0 40 
2019 2019 11 19 "Pork sausage (link/patty), pan-cooked" Summer Regional Mid-Atlantic Nickel ppb 0 40 
2019 2019 12 19 "Pork sausage (link/patty), pan-cooked" Summer Regional Southwest Nickel ppb 0 40 
2020 2019 1 19 "Pork sausage (link/patty), pan-cooked" Winter Regional Northeast Nickel ppb 0 40 
2020 2019 2 19 "Pork sausage (link/patty), pan-cooked" Winter Regional Southwest Nickel ppb 0 40 
2020 2019 3 19 "Pork sausage (link/patty), pan-cooked" Winter Regional Mid-Atlantic Nickel ppb 0 40 
2020 2020 4 19 "Pork sausage (link/patty), pan-cooked" Winter Regional West Nickel ppb 0 40 
2020 2020 5 19 "Pork sausage (link/patty), pan-cooked" Winter Regional North Central Nickel ppb 0 40 
2020 2020 6 19 "Pork sausage (link/patty), pan-cooked" Winter Regional Southeast Nickel ppb 0 40 
2018 2017 1 20 "Pork bacon, oven-cooked" Winter Regional Mid-Atlantic Nickel ppb 0 40 
2018 2017 2 20 "Pork bacon, oven-cooked" Winter Regional North Central Nickel ppb 0 40 
